ID,Question,Category,Critical,Engineering,Product,Business,Leadership,Type,Question Type,Theme,Weight
1,Our current architecture is modular and well-structured for future scaling.,Architecture & Technology,TRUE,TRUE,FALSE,FALSE,TRUE,Quantitative,Multiple choice,Technical Confidence,1
2,We have clear domain ownership across our systems.,Architecture & Technology,FALSE,TRUE,TRUE,FALSE,FALSE,Quantitative,Multiple choice,Clear Ownership,1
3,Systems are loosely coupled and do not require synchronous coordination.,Architecture & Technology,TRUE,TRUE,FALSE,FALSE,FALSE,Quantitative,Multiple choice,,1
4,Our platform supports composable integrations via well-defined APIs.,Architecture & Technology,TRUE,TRUE,FALSE,FALSE,FALSE,Quantitative,Multiple choice,Composable Integration,1
5,Technical debt is actively managed.,Architecture & Technology,FALSE,TRUE,FALSE,FALSE,FALSE,Quantitative,Multiple choice,Legacy Constraints,1
6,Legacy system dependencies are documented.,Architecture & Technology,FALSE,TRUE,FALSE,FALSE,FALSE,Quantitative,Multiple choice,Legacy Constraints,1
7,"Architecture decisions are guided by principles, not ad-hoc solutions.",Architecture & Technology,FALSE,TRUE,FALSE,FALSE,FALSE,Quantitative,Multiple choice,,1
8,The monolith’s responsibilities have been mapped for decomposition.,Architecture & Technology,TRUE,TRUE,FALSE,FALSE,FALSE,Quantitative,Multiple choice,Legacy Constraints,1
9,We use standardised approaches for authentication and authorisation.,Architecture & Technology,FALSE,TRUE,FALSE,FALSE,FALSE,Quantitative,Multiple choice,,1
10,Our systems support scalability without deep refactoring.,Architecture & Technology,FALSE,TRUE,FALSE,FALSE,FALSE,Quantitative,Multiple choice,,1
11,"Architecture evolution is tracked over time (e.g. ADRs, docs).",Architecture & Technology,TRUE,TRUE,FALSE,FALSE,FALSE,Quantitative,Multiple choice,,1
12,We have sandbox/staging environments aligned to prod.,Architecture & Technology,FALSE,TRUE,FALSE,FALSE,FALSE,Quantitative,Multiple choice,,1
13,Platform uptime and resilience are built into the design.,Architecture & Technology,FALSE,TRUE,FALSE,FALSE,FALSE,Quantitative,Multiple choice,Testing & Quality,1
14,Most systems could be containerised or deployed independently.,Architecture & Technology,FALSE,TRUE,FALSE,FALSE,FALSE,Quantitative,Multiple choice,Autonomy & Empowerment,1
15,Service-to-service communication follows standard patterns.,Architecture & Technology,TRUE,TRUE,FALSE,FALSE,FALSE,Quantitative,Multiple choice,Composable Integration,1
16,"We actively evaluate modern architectural practices (e.g. event-driven, headless).",Architecture & Technology,FALSE,TRUE,FALSE,FALSE,FALSE,Quantitative,Multiple choice,Technical Confidence,1
17,We use API gateways or similar for routing & abstraction.,Architecture & Technology,FALSE,TRUE,FALSE,FALSE,FALSE,Quantitative,Multiple choice,Composable Integration,1
18,"We have architectural observability (e.g. service maps, flows).",Architecture & Technology,FALSE,TRUE,FALSE,FALSE,FALSE,Quantitative,Multiple choice,Composable Integration,1
19,We conduct architectural reviews or spikes before large changes.,Architecture & Technology,FALSE,TRUE,FALSE,FALSE,FALSE,Quantitative,Multiple choice,Testing & Quality,1
20,Our documentation is sufficient for new joiners to understand the system.,Architecture & Technology,FALSE,TRUE,FALSE,FALSE,FALSE,Quantitative,Multiple choice,,1
21,Teams can introduce new technology with low friction.,Architecture & Technology,FALSE,TRUE,FALSE,FALSE,FALSE,Quantitative,Multiple choice,Delivery Friction,1
22,Architecture changes are tested for business impact.,Architecture & Technology,FALSE,TRUE,TRUE,FALSE,FALSE,Quantitative,Multiple choice,Readiness for Change,1
23,We support horizontal and vertical scaling strategies.,Architecture & Technology,FALSE,TRUE,FALSE,FALSE,FALSE,Quantitative,Multiple choice,,1
24,We can decouple major workflows with minimal risk.,Architecture & Technology,FALSE,TRUE,FALSE,FALSE,FALSE,Quantitative,Multiple choice,Composable Integration,1
25,Architecture decisions are regularly reviewed with business input.,Architecture & Technology,TRUE,TRUE,FALSE,FALSE,TRUE,Quantitative,Multiple choice,Cross-Functional Alignment,1
26,Delivery teams operate with autonomy.,Team Capability,TRUE,TRUE,TRUE,FALSE,FALSE,Quantitative,Multiple choice,Autonomy & Empowerment,1
27,Engineers understand distributed systems principles.,Team Capability,TRUE,TRUE,FALSE,FALSE,FALSE,Quantitative,Multiple choice,Technical Confidence,1
28,"Teams have experience working with APIs, microservices, events.",Team Capability,TRUE,TRUE,FALSE,FALSE,FALSE,Quantitative,Multiple choice,Composable Integration,1
29,DevOps and SRE support is available and skilled.,Team Capability,FALSE,TRUE,FALSE,FALSE,FALSE,Quantitative,Multiple choice,,1
30,Engineers can deploy without depending on other teams.,Team Capability,TRUE,TRUE,FALSE,FALSE,FALSE,Quantitative,Multiple choice,Autonomy & Empowerment,1
31,There is a strong culture of knowledge sharing.,Team Capability,FALSE,TRUE,FALSE,FALSE,FALSE,Quantitative,Multiple choice,Readiness for Change,1
32,Teams can troubleshoot independently.,Team Capability,FALSE,TRUE,FALSE,FALSE,FALSE,Quantitative,Multiple choice,Autonomy & Empowerment,1
33,Backlogs are managed with technical debt visibility.,Team Capability,FALSE,TRUE,TRUE,FALSE,FALSE,Quantitative,Multiple choice,Legacy Constraints,1
